Eth,MAE,N_events,Nth,RMSE,bias,chi2_ndf,chi2_ndf_dof,chi2_p,chi2_vs_poisson1,dataset,energy_captured_fraction,energy_containment_mean,energy_containment_median,energy_containment_std,energy_split_fraction,energy_unclustered_fraction,exact_match_rate,frac_0,frac_1,frac_2,frac_3plus,frac_events_containment_ge_90,frac_events_containment_ge_99,ks_D,ks_p,max_clusters,mean_clusters,median_clusters,over_cluster_rate,recon_seconds,std_clusters,under_cluster_rate
5.0,0.80486,50000,1.0,1.0642462121144711,0.5707800000000001,4132.203479661732,6,0.0,24793.22087797039,ep_iso,0.8792874733429337,0.7019341422939918,0.7355752029512119,0.18419212393619222,0.16539676925076377,0.12071252665706633,0.34546,0.11704,0.34546,0.4002,0.1373,0.11369296451125145,0.0018011206973227785,0.6187188823428846,0.0,5,1.57078,2.0,0.5375,35.463066816329956,0.898246251607303,0.11704
5.0,0.85618,50000,2.0,1.1124297730643495,0.6221000000000001,4660.694560093508,6,0.0,27964.167360561045,ep_iso,0.8792874733429337,0.6908704205036502,0.7199322999130537,0.18434586931427357,0.17675881856293807,0.12071252665706633,0.3174,0.11704,0.3174,0.40832,0.15724,0.10008449702036823,0.0016899404073645824,0.6187188823428846,0.0,5,1.6221,2.0,0.56556,34.26855802536011,0.9222302316515131,0.11704
5.0,0.86296,50000,3.0,1.1196785252919697,0.6288800000000001,4715.03529720114,6,0.0,28290.21178320684,ep_iso,0.8792874733429337,0.6893687264760774,0.7181222501219594,0.1844177056815302,0.17829756333092484,0.12071252665706633,0.31464,0.11704,0.31464,0.40772,0.1606,0.09799430756915414,0.0016454682913813038,0.6187188823428846,0.0,5,1.62888,2.0,0.56832,46.91703987121582,0.9263946835675358,0.11704
6.0,0.70566,50000,1.0,0.9630680142129111,0.47073999999999994,3488.1499751254037,6,0.0,20928.899850752423,ep_iso,0.8664742666554848,0.7007358643485285,0.7342888582696074,0.1845261909828678,0.15345095606137737,0.13352573334451523,0.39878,0.11746,0.39878,0.38564,0.09812,0.11138041448012097,0.0016009961753980255,0.6182988823428847,0.0,5,1.47074,1.0,0.48376,37.06857228279114,0.8401892469910665,0.11746
6.0,0.75004,50000,2.0,1.0043903623591774,0.51512,3826.006120617583,6,0.0,22956.036723705496,ep_iso,0.8664742666554848,0.6900863920990635,0.7192996343615718,0.18484860687576637,0.16439012654778606,0.13352573334451523,0.37108,0.11746,0.37108,0.39838,0.11308,0.09928399893266922,0.0014898158854398293,0.6182988823428847,0.0,5,1.51512,2.0,0.51146,39.569992542266846,0.8622448926639684,0.11746
6.0,0.75484,50000,3.0,1.0099306906911978,0.5199199999999999,3839.7282156892493,6,0.0,23038.369294135497,ep_iso,0.8664742666554848,0.6889713269654855,0.7179869078573837,0.1849421089808155,0.16553426749667208,0.13352573334451523,0.36906,0.11746,0.36906,0.39802,0.11546,0.09770523881526283,0.0014453437694565508,0.6182988823428847,0.0,5,1.51992,2.0,0.51348,36.34548306465149,0.8658280353301893,0.11746
7.0,0.62696,50000,1.0,0.8823151364450232,0.39148000000000005,3179.1469777357684,6,0.0,19074.88186641461,ep_iso,0.8544835390685213,0.6997119473026138,0.7332279708373706,0.1847426097751273,0.14228261419061844,0.14551646093147874,0.44604,0.11774,0.44604,0.36594,0.07028,0.1092457529129236,0.0014231077114649116,0.6180188823428847,0.0,5,1.39148,1.0,0.43622,45.46085238456726,0.7907186062805696,0.11774
7.0,0.66572,50000,2.0,0.9176273753545063,0.43023999999999996,3398.5747330431946,6,0.0,20391.448398259166,ep_iso,0.8544835390685213,0.6895559610884958,0.7188114809536338,0.18517440337160512,0.15271615177603085,0.14551646093147874,0.419,0.11774,0.419,0.38194,0.08132,0.0985946811349284,0.0013119274215067152,0.6180188823428847,0.0,5,1.43024,1.0,0.46326,44.04835367202759,0.8105224742927408,0.11774
7.0,0.66912,50000,3.0,0.9218025819013527,0.43364,3395.4005228645874,6,0.0,20372.403137187524,ep_iso,0.8544835390685213,0.6887098087157225,0.7179221403952538,0.185285914409309,0.15358287006297294,0.14551646093147874,0.41752,0.11774,0.41752,0.38172,0.08302,0.09752735035132971,0.0012674553055234369,0.6180188823428847,0.0,5,1.43364,1.0,0.46474,44.944358825683594,0.8134430429917536,0.11774
8.0,0.56258,50000,1.0,0.8173249047961282,0.32665999999999995,3657.3957924942706,5,0.0,18286.978962471352,ep_iso,0.8431462764837433,0.6987533094111382,0.7322374085098482,0.1849101316716401,0.13174626880104656,0.1568537235162567,0.48898,0.11796,0.48898,0.34266,0.0504,0.10786711731744196,0.001289691363515076,0.6177988823428847,0.0,4,1.32666,1.0,0.39306,37.283408403396606,0.7492159040553115,0.11796
8.0,0.59656,50000,2.0,0.848598845155943,0.36064000000000007,3790.196559627197,5,0.0,18950.982798135985,ep_iso,0.8431462764837433,0.6891560809600672,0.7184409168436632,0.18547322160507787,0.14160862863174006,0.1568537235162567,0.46366,0.11796,0.46366,0.35972,0.05866,0.09819443209107889,0.00117851107355688,0.6177988823428847,0.0,4,1.36064,1.0,0.41838,45.49587345123291,0.7681605247679917,0.11796
8.0,0.59908,50000,3.0,0.8517511373634907,0.3631599999999999,3779.7336645337855,5,0.0,18898.668322668927,ep_iso,0.8431462764837433,0.688498341871114,0.7178290540000356,0.18555637532328936,0.1422811565810192,0.1568537235162567,0.46248,0.11796,0.46248,0.35964,0.05992,0.09737169794538825,0.0011340389575736013,0.6177988823428847,0.0,4,1.36316,1.0,0.41956,36.82980251312256,0.7704587507022882,0.11796
9.0,0.50454,50000,1.0,0.7577994457638512,0.26825999999999994,3692.005967935051,5,0.0,18460.029839675255,ep_iso,0.8317052959451212,0.6978693921608251,0.7312140562882307,0.18506357760283104,0.12106382269737932,0.16829470405487879,0.5299,0.11814,0.5299,0.31794,0.03402,0.10655518989593525,0.0012229831895401583,0.6176188823428846,0.0,4,1.26826,1.0,0.35196,37.85613441467285,0.7087359300419097,0.11814
9.0,0.5348,50000,2.0,0.7856207736560942,0.2985199999999999,3726.946664699918,5,0.0,18634.73332349959,ep_iso,0.8317052959451212,0.688840238787529,0.718210089404892,0.18569656557551723,0.13034409861942198,0.16829470405487879,0.5058,0.11814,0.5058,0.33606,0.04,0.09788312727919594,0.0011118028995819621,0.6176188823428846,0.0,4,1.29852,1.0,0.37606,40.47818374633789,0.7267023954325668,0.11814
9.0,0.53672,50000,3.0,0.7881624198095212,0.30044000000000004,3712.204139315161,5,0.0,18561.020696575804,ep_iso,0.8317052959451212,0.6883225127343016,0.7177202312356303,0.18577863570485897,0.13087275845933793,0.16829470405487879,0.50488,0.11814,0.50488,0.33602,0.04096,0.0972382815974384,0.0010673307835986836,0.6176188823428846,0.0,4,1.30044,1.0,0.37698,36.60412240028381,0.7286607065901843,0.11814
10.0,0.45624,50000,1.0,0.7090275029926554,0.2194799999999999,3832.1696145791975,5,0.0,19160.848072895988,ep_iso,0.8208876340695398,0.696885030712395,0.7300099043563242,0.18532347072001118,0.11107504450960426,0.1791123659304602,0.5668,0.11838,0.5668,0.29198,0.02284,0.10524326247442853,0.0010673307835986836,0.6173788823428846,0.0,4,1.21948,1.0,0.31482,34.20456314086914,0.6742088851034336,0.11838
10.0,0.48296,50000,2.0,0.7332121111929344,0.24619999999999997,3791.1053356080874,5,0.0,18955.526678040438,ep_iso,0.8208876340695398,0.688428410317473,0.7179396740489066,0.185993517650595,0.11976504112346877,0.1791123659304602,0.54412,0.11838,0.54412,0.31066,0.02684,0.09743840611936316,0.0009783865516321266,0.6173788823428846,0.0,4,1.2462,1.0,0.3375,36.28313684463501,0.6906483185399049,0.11838
10.0,0.48412,50000,3.0,0.7347924877133679,0.24736000000000002,3779.044634455907,5,0.0,18895.223172279533,ep_iso,0.8208876340695398,0.688100694244329,0.7175754489320889,0.18605947302410406,0.12010398324631828,0.1791123659304602,0.54354,0.11838,0.54354,0.31066,0.02742,0.0970603931335053,0.0009561504936404874,0.6173788823428846,0.0,4,1.24736,1.0,0.33808,36.124796867370605,0.691912281472229,0.11838
11.0,0.41222,50000,1.0,0.6643944611448834,0.1749400000000001,4083.3236657699554,5,0.0,20416.618328849778,ep_iso,0.8099799197792797,0.695896349561158,0.7286548846572461,0.1856558173561402,0.10101923248808185,0.19002008022072026,0.60232,0.11864,0.60232,0.26456,0.01448,0.1042648759227964,0.0009561504936404874,0.6171188823428847,0.0,4,1.17494,1.0,0.27904,43.942559480667114,0.6409557027472785,0.11864
11.0,0.43534,50000,2.0,0.68525907509496,0.1980599999999999,3971.9327060862292,5,0.0,19859.663530431146,ep_iso,0.8099799197792797,0.6881513220982134,0.7178290540000356,0.18632659590443437,0.10897675579581759,0.19002008022072026,0.5817,0.11864,0.5817,0.2827,0.01696,0.09730498977141333,0.000911678377657209,0.6171188823428847,0.0,4,1.19806,1.0,0.29966,39.09038066864014,0.6560189354103066,0.11864
11.0,0.43626,50000,3.0,0.6866003204193835,0.19897999999999993,3959.958533281212,5,0.0,19799.79266640606,ep_iso,0.8099799197792797,0.687882290597525,0.7174996796819483,0.1863795765748428,0.10925532827148075,0.19002008022072026,0.58124,0.11864,0.58124,0.2827,0.01742,0.0969492128435471,0.0008894423196655697,0.6171188823428847,0.0,4,1.19898,1.0,0.30012,42.64282441139221,0.657141990982106,0.11864
12.0,0.3725,50000,1.0,0.6244197306299666,0.13422,4428.045185396544,5,0.0,22140.225926982723,ep_iso,0.7991738947064534,0.6947712023292912,0.7273156813960464,0.18627572205286938,0.09107202561340819,0.2008261052935466,0.63618,0.11914,0.63618,0.23602,0.00866,0.10317530908120609,0.0008227341456906519,0.6166188823428846,0.0,4,1.13422,1.0,0.24468,44.16189885139465,0.609829836469641,0.11914
12.0,0.39298,50000,2.0,0.643070758159629,0.15470000000000006,4249.721254624268,5,0.0,21248.606273121342,ep_iso,0.7991738947064534,0.6876241880505926,0.7174880895986349,0.1869445757675009,0.0984179275592519,0.2008261052935466,0.61728,0.11914,0.61728,0.25334,0.01024,0.0969492128435471,0.0007782620297073734,0.6166188823428846,0.0,4,1.1547,1.0,0.26358,42.04526114463806,0.6241920396112451,0.11914
12.0,0.39346,50000,3.0,0.6438167441127949,0.1551800000000001,4242.4781861029205,5,0.0,21212.390930514604,ep_iso,0.7991738947064534,0.6874747677938675,0.7173893969950942,0.18696521182321416,0.09857279848302003,0.2008261052935466,0.61704,0.11914,0.61704,0.25334,0.01048,0.0967268522636307,0.0007560259717157343,0.6166188823428846,0.0,4,1.15518,1.0,0.26382,40.945557832717896,0.6248415608292416,0.11914
13.0,0.33842,50000,1.0,0.5898643911951289,0.09878000000000009,6049.917625920714,4,0.0,24199.670503682857,ep_iso,0.7889050855369658,0.6936684502534203,0.7261697309232658,0.18714814096905338,0.08171366040243497,0.2110949144630342,0.66634,0.11982,0.66634,0.20908,0.00476,0.10253046339944855,0.0007782620297073734,0.6159388823428846,0.0,3,1.09878,1.0,0.21384,41.3257520198822,0.5815404331476083,0.11982
13.0,0.35622,50000,2.0,0.6060858025065428,0.1165799999999999,5769.806838343495,4,0.0,23079.22735337398,ep_iso,0.7889050855369658,0.6871820190465849,0.7173461595034432,0.1876816556353783,0.08838153343213334,0.2110949144630342,0.64934,0.11982,0.64934,0.22528,0.00556,0.0967268522636307,0.000733789913724095,0.6159388823428846,0.0,3,1.11658,1.0,0.23084,46.32905554771423,0.5947740568682989,0.11982
13.0,0.35654,50000,3.0,0.6066135507883087,0.1169,5763.115298332014,4,0.0,23052.461193328058,ep_iso,0.7889050855369658,0.687080393326902,0.717261763898076,0.18769620224640887,0.08848697558302959,0.2110949144630342,0.64918,0.11982,0.64918,0.22528,0.00572,0.09657119985768924,0.0007115538557324558,0.6159388823428846,0.0,3,1.1169,1.0,0.231,43.67774558067322,0.5952490877183506,0.11982
14.0,0.30746,50000,1.0,0.5584800802177281,0.06597999999999993,6655.432096342532,4,0.0,26621.728385370126,ep_iso,0.7786776690294501,0.6924096136068638,0.7250178749197057,0.18816878210906204,0.07246746796498835,0.22132233097054987,0.69476,0.12074,0.69476,0.18228,0.00222,0.10157431290580805,0.000644845681757538,0.6150188823428847,0.0,3,1.06598,1.0,0.1845,39.57790422439575,0.554574423009043,0.12074
